RightHip				LeftShoulder				RightShoulder				LeftKnee				Trunk2Ground				Pelvic				RightKnee				LeftHip				RightAnkle				LeftAnkle				
RightHip_Time	RightHip_Abduction-Adduction	RightHip_Internal-External Rotat	RightHip_Flexion-Extension	LeftShoulder_Time	LeftShoulder_Abduction-Adduction	LeftShoulder_Internal-External Rotat	LeftShoulder_Flexion-Extension	RightShoulder_Time	RightShoulder_Abduction-Adduction	RightShoulder_Internal-External Rotat	RightShoulder_Flexion-Extension	LeftKnee_Time	LeftKnee_Abduction-Adduction	LeftKnee_Internal-External Rotat	LeftKnee_Flexion-Extension	Trunk2Ground_Time	Trunk2Ground_Abduction-Adduction	Trunk2Ground_Internal-External Rotat	Trunk2Ground_Flexion-Extension	Pelvic_Time	Pelvic_Abduction-Adduction	Pelvic_Internal-External Rotat	Pelvic_Flexion-Extension	RightKnee_Time	RightKnee_Abduction-Adduction	RightKnee_Internal-External Rotat	RightKnee_Flexion-Extension	LeftHip_Time	LeftHip_Abduction-Adduction	LeftHip_Internal-External Rotat	LeftHip_Flexion-Extension	RightAnkle_Time	RightAnkle_Abduction-Adduction	RightAnkle_Internal-External Rotat	RightAnkle_Flexion-Extension	LeftAnkle_Time	LeftAnkle_Abduction-Adduction	LeftAnkle_Internal-External Rotat	LeftAnkle_Flexion-Extension	
388993	-2.69256493585092	21.8548993175128	-5.40257458960157	388993	-7.27462777060898	-31.3889173340649	-2.15457490624061	388993	0.982194472502618	3.19534084491967	-4.75974488160701	388993	-14.8338684598171	20.2237684324748	-20.0054452662259	388993	-4.19853237134576	-72.971184450906	-89.5279275121842	388993	-0.118815263041322	-20.5565253675098	0.563270552351802	388993	-2.92837360727556	-15.0999512185864	6.14508242491905	388993	3.00583047772646	-15.8010048640871	-12.9014911937255	388993	-4.66432392021521	23.6545190878275	-16.9497074852096	388993	10.4365513788281	-13.6908490234011	13.8301060258536	
388999	-2.88983542054954	21.9528127404788	-5.53957647286413	388999	-7.52189878378779	-31.433724880564	-2.37103996142897	388999	0.79402590821388	3.2557008874055	-4.39136376898646	388999	-15.1032373891049	19.7555797667686	-20.6149944945632	388999	-4.02498902264214	-73.1332213863791	-89.545887483059	388999	0.030263978992919	-20.485520065084	0.749818892454129	388999	-2.84074788417431	-15.0957434321182	6.13004038558994	388999	2.79743094068999	-15.592026388175	-13.3908883585943	388999	-4.76604713046151	23.6214194788471	-17.0394690160002	388999	10.4594994255662	-13.6401073827981	14.1887235922737	
389005	-3.09386040913127	22.0700342740411	-5.71071094971414	389005	-7.76291631452238	-31.4925892536571	-2.60123371349706	389005	0.59295980440793	3.27045829684218	-4.01631153885613	389005	-15.3592485260409	19.3310626530063	-21.1219809156717	389005	-3.8481799734703	-73.2991243511367	-89.5608167521327	389005	0.164195481272733	-20.434518353694	0.981652990343897	389005	-2.74263944688558	-15.0889747718763	6.11431709720271	389005	2.59283996883101	-15.41230556657	-13.7924266143577	389005	-4.86866436638131	23.5894965417094	-17.1259630204032	389005	10.5190443813823	-13.5775554287522	14.482671493925	
389011	-3.29746908471458	22.1924315280554	-5.8906504879951	389011	-7.99698841338557	-31.5661166461909	-2.83362405540582	389011	0.39224708173502	3.2452594065603	-3.63804742266857	389011	-15.6129770443684	18.9357358605635	-21.5563487018109	389011	-3.66405690789146	-73.4696436481106	-89.5756279491841	389011	0.290830582832241	-20.3883755943991	1.24433168252767	389011	-2.58273817776306	-15.1145241607516	6.12006896491249	389011	2.39691422322645	-15.2555232776739	-14.1536581738971	389011	-4.90620459991469	23.5747910214312	-17.2177350752002	389011	10.6333909811327	-13.4981169362019	14.7053375584514	
389017	-3.5549918708119	22.2773640279527	-6.06595626403826	389017	-8.201109968268	-31.6735120493962	-3.08527437610897	389017	0.198285684998998	3.18304753041963	-3.26243739031593	389017	-15.8564992968391	18.5838840179385	-21.9567541034318	389017	-3.47209603802082	-73.6442868821573	-89.5914503746724	389017	0.437169519737421	-20.3282791739686	1.54200383971909	389017	-2.43715963189689	-15.1170601086291	6.11702348628471	389017	2.17480999103658	-15.1403298164893	-14.4904972334444	389017	-4.96521510449966	23.5459131467516	-17.2912680456855	389017	10.7792610611935	-13.4001616518693	14.8906367806668	
389023	-3.80747961096559	22.3621651647313	-6.23301661657754	389023	-8.38708093422667	-31.7931194765822	-3.33612953478297	389023	0.0334673240142714	3.07428193326925	-2.90996461196238	389023	-16.0824920291845	18.282061932013	-22.3339321430049	389023	-3.2720699026937	-73.8258440036154	-89.6106051553295	389023	0.569840899226979	-20.2683299408023	1.85945704230995	389023	-2.29281733650041	-15.1153154560669	6.10608178152025	389023	1.97014119129921	-15.0611877362194	-14.8109465009548	389023	-4.99286827354452	23.5140632085953	-17.3373028723277	389023	10.9535341377241	-13.2849715910958	15.0608202897863	
389029	-4.07900722373111	22.430252814279	-6.38428425130391	389029	-8.56581074505308	-31.9344822590345	-3.59083041246641	389029	-0.124503461728734	2.9493645788593	-2.57429247106028	389029	-16.300894423172	18.0154001835922	-22.6688623394558	389029	-3.06670618187083	-74.0037984152289	-89.6217217495387	389029	0.705915691575147	-20.2048125106176	2.19044310713424	389029	-2.17635188762905	-15.0960684129121	6.07585350844891	389029	1.77886537189183	-15.0174284274431	-15.1136839992212	389029	-5.04359957677007	23.4750615719131	-17.3497239418635	389029	11.1110929199396	-13.1704568361303	15.221351369011	
389035	-4.31015655197693	22.5058146241401	-6.49834352847725	389035	-8.75590204071248	-32.0887135553583	-3.86298966987004	389035	-0.310783288154472	2.79900328813458	-2.25197574378555	389035	-16.5232119454482	17.7898286941773	-22.9561422783546	389035	-2.865210185712	-74.1890552620796	-89.6349808397164	389035	0.82910875817192	-20.1394213645314	2.50545457930843	389035	-2.03642444377372	-15.0934424982236	6.01303014545724	389035	1.6502683103275	-15.0178153253492	-15.4296142980394	389035	-5.07698178361981	23.4488668656553	-17.3158897210262	389035	11.2588719120734	-13.0744243723673	15.3451781411422	
389041	-4.51650635328522	22.5780544570056	-6.58019335460979	389041	-8.95461091421386	-32.2665271309326	-4.1710348420021	389041	-0.513100017794303	2.6458778834059	-1.97058976053659	389041	-16.764608557738	17.6064822797359	-23.236492685026	389041	-2.683678041098	-74.3670410778782	-89.6206737139895	389041	0.912945479091633	-20.0827009843655	2.77485672147652	389041	-1.91122598718999	-15.0825129125866	5.93473530906891	389041	1.58752786592764	-15.0723133534239	-15.8035284790002	389041	-5.07418804829128	23.4310447945619	-17.2797687981384	389041	11.4009385243846	-13.0008718227316	15.4365911054795	
389047	-4.67733984349518	22.6478904231362	-6.60560412999187	389047	-9.1460171940605	-32.4545499580879	-4.49749230012102	389047	-0.727174463011056	2.49834591501752	-1.70936689741925	389047	-17.0703886647102	17.4520727671332	-23.5803770848146	389047	-2.51364870730768	-74.5493944085113	-89.6002505401998	389047	0.958462281592801	-20.029461213677	2.97549194680012	389047	-1.79072749023711	-15.0622531299987	5.84051793759097	389047	1.66104446742789	-15.1840847666289	-16.3471262562534	389047	-5.04775978997511	23.4187959731202	-17.2315401280148	389047	11.5266480235966	-12.9413218676918	15.4875951888251	
