RightAnkle				LeftShoulder				RightShoulder				RightKnee				LeftKnee				Pelvic				LeftHip				Trunk2Ground				RightHip				LeftAnkle				
RightAnkle_Time	RightAnkle_Abduction-Adduction	RightAnkle_Internal-External Rotat	RightAnkle_Flexion-Extension	LeftShoulder_Time	LeftShoulder_Abduction-Adduction	LeftShoulder_Internal-External Rotat	LeftShoulder_Flexion-Extension	RightShoulder_Time	RightShoulder_Abduction-Adduction	RightShoulder_Internal-External Rotat	RightShoulder_Flexion-Extension	RightKnee_Time	RightKnee_Abduction-Adduction	RightKnee_Internal-External Rotat	RightKnee_Flexion-Extension	LeftKnee_Time	LeftKnee_Abduction-Adduction	LeftKnee_Internal-External Rotat	LeftKnee_Flexion-Extension	Pelvic_Time	Pelvic_Abduction-Adduction	Pelvic_Internal-External Rotat	Pelvic_Flexion-Extension	LeftHip_Time	LeftHip_Abduction-Adduction	LeftHip_Internal-External Rotat	LeftHip_Flexion-Extension	Trunk2Ground_Time	Trunk2Ground_Abduction-Adduction	Trunk2Ground_Internal-External Rotat	Trunk2Ground_Flexion-Extension	RightHip_Time	RightHip_Abduction-Adduction	RightHip_Internal-External Rotat	RightHip_Flexion-Extension	LeftAnkle_Time	LeftAnkle_Abduction-Adduction	LeftAnkle_Internal-External Rotat	LeftAnkle_Flexion-Extension	
208635	0.673588214324212	11.9003244587733	-5.42253434438893	208635	-0.148983049628365	5.6697526990491	0.367860510072029	208635	-3.88907473934311	42.1826219088062	-3.42274201867182	208635	1.08590954500258	-19.3114156650979	3.69679140318439	208635	1.89607520428368	6.01919201819193	3.55650017731878	208635	-2.10712824202106	1.73719320485003	-5.61484248390825	208635	2.47426047760346	-3.72420639611695	3.74140736696933	208635	-1.72448589762825	-88.4995665110747	-89.0289810844267	208635	3.05525984238283	23.3306807357286	-0.284167542182761	208635	2.07780259084436	0.484164084632214	1.55837732982012	
208641	0.661517271535355	11.9169168661854	-5.3892836605241	208641	-0.278441483838506	5.49150989965235	0.3275396783975	208641	-3.97753199690607	41.8765723962412	-3.41478260328033	208641	1.09357245092157	-19.3488715114859	3.64744416742647	208641	1.88522064101944	6.03020961784846	3.57714189814128	208641	-2.2058156687973	1.59082881628263	-5.68213666872972	208641	2.43532070298799	-3.72048500013762	3.84858086081881	208641	-1.7982838062686	-88.3248057659938	-88.8895849951318	208641	3.00922509511964	23.3325581442314	-0.33306468213313	208641	2.06764117642871	0.50421242617829	1.62548012004001	
208647	0.664518339321073	11.9482079811456	-5.36085497897188	208647	-0.409354260241314	5.32446850355191	0.284099139090012	208647	-4.05888482974568	41.5688593306826	-3.39997427263055	208647	1.10273123108308	-19.3878198151013	3.59958978282254	208647	1.9032544092206	6.06852871073342	3.58624067579546	208647	-2.31567272538459	1.43732459790777	-5.74545396231371	208647	2.4114605442368	-3.70829335919899	3.95261793387979	208647	-1.86874005623879	-88.1522607511514	-88.7557729544155	208647	2.98147877519568	23.3448010790464	-0.383224947601964	208647	2.02800972809742	0.546182283717188	1.69758843855326	
208653	0.660783228502782	11.9747856089774	-5.33252819122049	208653	-0.40079077569793	5.28444606910268	0.281059276897825	208653	-3.98902399564766	41.3928490731825	-3.33017163818719	208653	1.10711352905472	-19.4217725661677	3.54991098014776	208653	1.87816592699154	6.08121049102947	3.60429531695027	208653	-2.29031960005976	1.41563638704926	-5.75725240673564	208653	2.42983824783081	-3.6694897285723	4.06231839872538	208653	-1.89939224454038	-88.1029069372409	-88.7705469816077	208653	2.95373280879284	23.3582487873469	-0.435068840875999	208653	1.98073400662988	0.590514006287449	1.76600427475005	
208659	0.644416604438129	11.9903063278692	-5.30288922144755	208659	-0.368094297235608	5.26191224628801	0.257712358925522	208659	-3.91202881215905	41.2079186866731	-3.2409085341873	208659	1.11135980894057	-19.4557297669734	3.50272717979603	208659	1.8428243473489	6.0796764772152	3.62475695064898	208659	-2.24766774191006	1.40307467955645	-5.76072612058071	208659	2.43035190036191	-3.64309979811752	4.1660219455292	208659	-1.92225277955044	-88.0545556792263	-88.7871860633119	208659	2.91045019258788	23.3626744674973	-0.486061102028488	208659	1.94736951606835	0.618420536971123	1.82919770609009	
208665	0.628588902901325	12.0066757027679	-5.27509555801714	208665	-0.349842049324769	5.23890691245183	0.233283769784861	208665	-3.86636444539464	40.989217814977	-3.13817734907972	208665	1.11628246927237	-19.4917008105169	3.45675940001093	208665	1.81120609196401	6.08016534625943	3.64507890573438	208665	-2.21174401055947	1.3806448734165	-5.76129240640759	208665	2.42884836308827	-3.61934411503327	4.26729099138977	208665	-1.94103690038102	-87.9976096842666	-88.7966232436975	208665	2.86903500042259	23.3685553803012	-0.535960279473314	208665	1.91580868352709	0.644803410070836	1.8941386231924	
208671	0.611739810425516	12.0246392561396	-5.24910024326192	208671	-0.329230213743106	5.24016036483389	0.202383951593039	208671	-3.81661827039049	40.7664490089851	-3.03266768282226	208671	1.1154778218495	-19.5250848959586	3.40958893084516	208671	1.80964303209051	6.09942071910507	3.66252940413376	208671	-2.17621799980444	1.35711932917222	-5.75923987435662	208671	2.39935079653016	-3.61608542656959	4.36538907558728	208671	-1.95789546594862	-87.9410636993617	-88.8069011698788	208671	2.82789815138735	23.3758597604568	-0.585437260391986	208671	1.89796008448838	0.659309363302011	1.96101069996087	
208677	0.598125693617326	12.0444583981173	-5.22491338986704	208677	-0.322638134321828	5.24441920034996	0.171145400884881	208677	-3.78265640626737	40.5192506736622	-2.92204891345042	208677	1.11106323518392	-19.5540563791452	3.36232261678709	208677	1.77250418623057	6.10468264944561	3.67004370285147	208677	-2.14673618026745	1.32801868977941	-5.75736557137989	208677	2.39350294625316	-3.59915401010279	4.44776240307275	208677	-1.97469923775506	-87.8806778170811	-88.8125659479196	208677	2.78050638850155	23.3785380347637	-0.634258762928829	208677	1.89253166438557	0.671629876699458	2.02805820842155	
208683	0.633215132557072	12.0986953644581	-5.20795013670867	208683	-0.379728374410899	5.22938504015596	0.167415407561604	208683	-3.74285929088715	40.2685931130924	-2.80879659781635	208683	1.13195754453047	-19.6102452575185	3.33044771716062	208683	1.73028806906912	6.11037598372476	3.67876480885994	208683	-2.11468526024272	1.29684393601878	-5.75535318426143	208683	2.39002168916985	-3.582080631882	4.52136172745821	208683	-1.9926855864212	-87.8199275071966	-88.8208172446683	208683	2.7375386858533	23.3878021653338	-0.680680616729549	208683	1.87565226377421	0.692025870819258	2.08551902067522	
208689	0.671417097554363	12.1542158048629	-5.19305482036216	208689	-0.440904263575074	5.21926672065834	0.157282827726166	208689	-3.69940067582163	40.0151466048098	-2.69413034893894	208689	1.15311382979874	-19.6673797687306	3.30073769002528	208689	1.70567598505627	6.13670787494743	3.6992588930872	208689	-2.05271784406795	1.27940632581747	-5.75222898334194	208689	2.36134944896913	-3.58333124170983	4.58961700824321	208689	-2.01182961001433	-87.7589508801382	-88.8303876838712	208689	2.66508619388137	23.3822399210919	-0.73001700631007	208689	1.83680504486321	0.732066773043371	2.13204702553987	
